"","ID","SeasonNumber","Result","Gender","Environment","AgeEntrance","Age","Days","t_ji"
"1","129490",1,17.03,"M","Outdoor",18,18,5264,0.349116781326822
"2","129490",2,17.92,"M","Indoor",18,19,5492,1.53467865526383
"3","129490",2,18.1,"M","Indoor",18,19,5515,1.63555514708538
"4","129490",2,17.8,"M","Outdoor",18,19,5552,1.20678778717133
"5","129490",2,18.62,"M","Outdoor",18,19,5593,1.55364058610138
"6","129490",2,17.48,"M","Outdoor",18,19,5638,1.5632569865197
"7","129490",3,17.85,"M","Indoor",18,20,5859,2.42815750498317
"8","129490",3,18.74,"M","Indoor",18,20,5876,2.43167101802698
"9","129490",3,18.37,"M","Indoor",18,20,5888,2.42944350011334
"10","129490",3,19.45,"M","Outdoor",18,20,5957,2.38874527136949
"11","129490",3,18.64,"M","Outdoor",18,20,5984,2.44035091253081
"12","129490",3,18.71,"M","Outdoor",18,20,5998,2.37520169439254
"13","129490",3,18.79,"M","Outdoor",18,20,6032,2.40296826317025
"14","129490",3,19.42,"M","Outdoor",18,20,6032,2.50805735215953
"15","129490",3,18.26,"M","Outdoor",18,20,6041,2.61993675737135
"16","129490",3,18.7,"M","Outdoor",18,20,6046,2.48621431320115
"17","129490",4,19.83,"M","Indoor",18,21,6230,3.43612381177417
"18","129490",4,19.81,"M","Indoor",18,21,6248,3.38610057292127
"19","129490",4,19.6,"M","Outdoor",18,21,6320,3.39535353996638
"20","129490",4,19.31,"M","Outdoor",18,21,6341,3.80197939731117
"21","129490",4,19.88,"M","Outdoor",18,21,6356,3.516761027519
"22","129490",4,19,"M","Outdoor",18,21,6360,3.43866426291363
"23","129490",4,19.48,"M","Outdoor",18,21,6363,3.44493151595585
"24","129490",4,18.16,"M","Outdoor",18,21,6397,3.55744868012573
"25","129490",4,18.41,"M","Outdoor",18,21,6404,3.41328496913282
"26","129490",4,18.67,"M","Outdoor",18,21,6410,3.31897438620169
"27","129490",5,18.44,"M","Indoor",18,22,6580,4.57184446511259
"28","129490",5,18.75,"M","Indoor",18,22,6593,4.37204303462951
"29","129490",5,18.71,"M","Indoor",18,22,6608,4.49810771245448
"30","129490",5,18.65,"M","Indoor",18,22,6621,4.38300642485395
"31","129490",5,19.54,"M","Outdoor",18,22,6690,4.63778719327503
"32","129490",5,19.27,"M","Outdoor",18,22,6705,4.44055086514137
"33","129490",5,19.38,"M","Outdoor",18,22,6716,4.41131999531094
"34","129490",5,19.57,"M","Outdoor",18,22,6718,4.43734274242565
"35","129490",5,19.67,"M","Outdoor",18,22,6728,4.29636331636516
"36","129490",5,19.79,"M","Outdoor",18,22,6748,4.35404759223823
"37","129490",5,17.77,"M","Outdoor",18,22,6751,4.22749504388142
"38","129490",5,19.48,"M","Outdoor",18,22,6759,4.3323758509875
"39","129490",5,19.7,"M","Outdoor",18,22,6764,4.46321326765454
"40","129490",5,19.34,"M","Outdoor",18,22,6765,4.44176280744924
"41","129490",5,19.53,"M","Outdoor",18,22,6775,4.68118703316089
"42","129490",6,20.18,"M","Indoor",18,23,6963,5.36641965954068
"43","129490",6,19.79,"M","Indoor",18,23,6973,5.39307942078281
"44","129490",6,19.83,"M","Indoor",18,23,6986,5.46492212475532
"45","129490",6,19.67,"M","Indoor",18,23,6998,5.37570749046304
"46","129490",6,19.32,"M","Outdoor",18,23,7008,5.37893571026599
"47","129490",6,20,"M","Outdoor",18,23,7056,5.36158522591978
"48","129490",6,19.69,"M","Outdoor",18,23,7068,5.34350176429513
"49","129490",6,20.13,"M","Outdoor",18,23,7076,5.43452148512658
"50","129490",6,19.82,"M","Outdoor",18,23,7093,5.43789375534166
"51","129490",6,19.68,"M","Outdoor",18,23,7098,5.27424609289976
"52","129490",6,18.17,"M","Outdoor",18,23,7110,5.42724050941383
"53","129490",6,19.77,"M","Outdoor",18,23,7111,5.36138879694665
"54","129490",6,19.06,"M","Outdoor",18,23,7126,5.3731297488135
"55","129490",6,19.52,"M","Outdoor",18,23,7132,5.4797113095554
"56","129490",6,19.67,"M","Outdoor",18,23,7136,5.57038197737432
"57","69158",1,15.84,"M","Indoor",17,17,3687,0.705977184101883
"58","69158",1,15.99,"M","Outdoor",17,17,3808,0.403330822007038
"59","69158",1,16.43,"M","Outdoor",17,18,3834,0.700738703607162
"60","69158",1,16.56,"M","Outdoor",17,18,3857,0.355273931538199
"61","69158",2,16.96,"M","Indoor",17,18,4066,1.5820735580416
"62","69158",2,16.77,"M","Outdoor",17,18,4172,1.81862388383973
"63","69158",2,16.49,"M","Outdoor",17,19,4214,1.49565495127452
"64","69158",2,16.68,"M","Outdoor",17,19,4222,1.41629580254226
"65","69158",3,17.16,"M","Indoor",17,19,4423,2.49904940553613
"66","69158",3,18.71,"M","Outdoor",17,19,4528,2.72213555601793
"67","69158",3,18.77,"M","Outdoor",17,19,4536,2.35767403290614
"68","69158",3,18.27,"M","Outdoor",17,20,4557,2.67097839742791
"69","69158",3,17.46,"M","Outdoor",17,20,4576,2.6661955988478
"70","69158",3,17.5,"M","Outdoor",17,20,4576,2.54205909965048
"71","69158",4,19.03,"M","Indoor",17,20,4760,3.50086160480524
"72","69158",4,19.21,"M","Indoor",17,20,4787,3.44306640772982
"73","69158",4,17.65,"M","Outdoor",17,20,4824,3.45418450839076
"74","69158",4,19.3,"M","Outdoor",17,20,4899,3.58103582093789
"75","69158",4,18.3,"M","Outdoor",17,20,4921,3.75878385766637
"76","69158",4,17.8,"M","Outdoor",17,21,4932,3.48082519844163
"77","69158",5,19.49,"M","Indoor",17,21,5123,4.32616238166231
"78","69158",5,18.74,"M","Indoor",17,21,5138,4.40955227786123
"79","69158",5,18.46,"M","Indoor",17,21,5158,4.53228272027098
"80","69158",5,18.29,"M","Outdoor",17,21,5188,4.46036761062985
"81","69158",5,19.25,"M","Outdoor",17,21,5264,4.47777625529196
